,accentcity,city,country,geopoint,latitude,longitude,population,region,point_count
75259,Valley City,valley city,us,"[46.9233333, -98.0027778]",46.9233333,-98.0027778,6193.0,ND,2
75255,Jamestown,jamestown,us,"[46.9105556, -98.7080556]",46.9105556,-98.7080556,15081.0,ND,4
75254,Dickinson,dickinson,us,"[46.8791667, -102.7891667]",46.8791667,-102.7891667,15576.0,ND,4
75248,Fargo,fargo,us,"[46.8772222, -96.7894444]",46.8772222,-96.7894444,92103.0,ND,19
60763,West Fargo,west fargo,us,"[46.8766667, -96.8722222]",46.8766667,-96.8722222,17590.0,MN,4
75252,West Fargo,west fargo,us,"[46.875, -96.9]",46.875,-96.9,17590.0,ND,4
60725,Moorhead,moorhead,us,"[46.8738889, -96.7672222]",46.8738889,-96.7672222,33137.0,MN,7
69171,Missoula,missoula,us,"[46.8722222, -113.9930556]",46.8722222,-113.9930556,63164.0,MT,13
69185,Orchard Homes,orchard homes,us,"[46.8633333, -114.0475]",46.8633333,-114.0475,4897.0,MT,1
55986,Caribou,caribou,us,"[46.8605556, -68.0125]",46.8605556,-68.0125,8336.0,ME,2
75253,Mandan,mandan,us,"[46.8266667, -100.8891667]",46.8266667,-100.8891667,16809.0,ND,4
75249,Bismarck,bismarck,us,"[46.8083333, -100.7833333]",46.8083333,-100.7833333,56706.0,ND,12
60705,Duluth,duluth,us,"[46.7833333, -92.1063889]",46.7833333,-92.1063889,84800.0,MN,17
29714,Moscow,moscow,us,"[46.7325, -116.9991667]",46.7325,-116.9991667,21865.0,ID,5
129780,Pullman,pullman,us,"[46.7313889, -117.1786111]",46.7313889,-117.1786111,25636.0,WA,6
60785,Cloquet,cloquet,us,"[46.7216667, -92.4591667]",46.7216667,-92.4591667,11548.0,MN,3
132147,Superior,superior,us,"[46.7208333, -92.1038889]",46.7208333,-92.1038889,27130.0,WI,6
129805,Centralia,centralia,us,"[46.7163889, -122.9530556]",46.7163889,-122.9530556,15107.0,WA,4
55976,Presque Isle,presque isle,us,"[46.6811111, -68.0163889]",46.6811111,-68.0163889,9466.0,ME,2
129748,Yakima,yakima,us,"[46.6022222, -120.5047222]",46.6022222,-120.5047222,88405.0,WA,18
69175,Helena,helena,us,"[46.5927778, -112.0352778]",46.5927778,-112.0352778,27340.0,MT,6
58041,Marquette,marquette,us,"[46.5436111, -87.3952778]",46.5436111,-87.3952778,20831.0,MI,5
29711,Lewiston,lewiston,us,"[46.4166667, -117.0166667]",46.4166667,-117.0166667,31422.0,ID,7
69179,Miles City,miles city,us,"[46.4083333, -105.84]",46.4083333,-105.84,8184.0,MT,2
129828,Toppenish,toppenish,us,"[46.3775, -120.3075]",46.3775,-120.3075,9186.0,WA,2
60772,Brainerd,brainerd,us,"[46.3580556, -94.2005556]",46.3580556,-94.2005556,14218.0,MN,3
129807,Sunnyside,sunnyside,us,"[46.3238889, -120.0075]",46.3238889,-120.0075,14208.0,WA,3
129824,West Richland,west richland,us,"[46.3044444, -119.3602778]",46.3044444,-119.3602778,9869.0,WA,2
129760,Richland,richland,us,"[46.2858333, -119.2833333]",46.2858333,-119.2833333,44869.0,WA,9
60770,Fergus Falls,fergus falls,us,"[46.2830556, -96.0772222]",46.2830556,-96.0772222,14364.0,MN,3
75257,Wahpeton,wahpeton,us,"[46.2652778, -96.6055556]",46.2652778,-96.6055556,8395.0,ND,2
129835,Grandview,grandview,us,"[46.2511111, -119.9005556]",46.2511111,-119.9005556,8620.0,WA,2
69188,Hamilton,hamilton,us,"[46.2469444, -114.1594444]",46.2469444,-114.1594444,4528.0,MT,1
129763,Pasco,pasco,us,"[46.2397222, -119.0994444]",46.2397222,-119.0994444,43390.0,WA,9
129752,Kennewick,kennewick,us,"[46.2113889, -119.1361111]",46.2113889,-119.1361111,62158.0,WA,13
95233,Astoria,astoria,us,"[46.1880556, -123.83]",46.1880556,-123.83,9535.0,OR,2
129816,Kelso,kelso,us,"[46.1469444, -122.9072222]",46.1469444,-122.9072222,11648.0,WA,3
129766,Longview,longview,us,"[46.1383333, -122.9369444]",46.1383333,-122.9369444,36349.0,WA,8
69178,Anaconda,anaconda,us,"[46.1286111, -112.9413889]",46.1286111,-112.9413889,8693.0,MT,2
56001,Houlton,houlton,us,"[46.1261111, -67.8408333]",46.1261111,-67.8408333,6703.0,ME,2
129773,Walla Walla,walla walla,us,"[46.0647222, -118.3419444]",46.0647222,-118.3419444,30578.0,WA,7
129832,College Place,college place,us,"[46.0494444, -118.3872222]",46.0494444,-118.3872222,8843.0,WA,2
69174,Butte,butte,us,"[46.0038889, -112.5338889]",46.0038889,-112.5338889,31056.0,MT,7
60792,Alexandria,alexandria,us,"[45.8852778, -95.3772222]",45.8852778,-95.3772222,10226.0,MN,3
95228,Saint Helens,saint helens,us,"[45.8641667, -122.8052778]",45.8641667,-122.8052778,12082.0,OR,3
95221,Hermiston,hermiston,us,"[45.8405556, -119.2883333]",45.8405556,-119.2883333,14951.0,OR,3
69170,Billings,billings,us,"[45.7833333, -108.5]",45.7833333,-108.5,99751.0,MT,20
69180,Belgrade,belgrade,us,"[45.7761111, -111.1761111]",45.7761111,-111.1761111,7452.0,MT,2
58064,Escanaba,escanaba,us,"[45.7452778, -87.0644444]",45.7452778,-87.0644444,12622.0,MI,3
129792,Salmon Creek,salmon creek,us,"[45.7108333, -122.6477778]",45.7108333,-122.6477778,19192.0,WA,4
69173,Bozeman,bozeman,us,"[45.6797222, -111.0377778]",45.6797222,-111.0377778,33178.0,MT,7
95214,Pendleton,pendleton,us,"[45.6722222, -118.7875]",45.6722222,-118.7875,16539.0,OR,4
69183,Laurel,laurel,us,"[45.6691667, -108.7708333]",45.6691667,-108.7708333,6334.0,MT,2
69181,Livingston,livingston,us,"[45.6625, -110.5602778]",45.6625,-110.5602778,7155.0,MT,2
129837,Minnehaha,minnehaha,us,"[45.6591667, -122.6475]",45.6591667,-122.6475,7283.0,WA,2
56015,Millinocket,millinocket,us,"[45.6572222, -68.7102778]",45.6572222,-68.7102778,5105.0,ME,2
129745,Vancouver,vancouver,us,"[45.6388889, -122.6602778]",45.6388889,-122.6602778,157517.0,WA,32
60774,Sartell,sartell,us,"[45.6216667, -94.2066667]",45.6216667,-94.2066667,13553.0,MN,3
60782,Sauk Rapids,sauk rapids,us,"[45.5919444, -94.1658333]",45.5919444,-94.1658333,12321.0,MN,3
129796,Camas,camas,us,"[45.5872222, -122.3983333]",45.5872222,-122.3983333,17040.0,WA,4
129821,Washougal,washougal,us,"[45.5827778, -122.3522222]",45.5827778,-122.3522222,10234.0,WA,3
60714,Saint Cloud,saint cloud,us,"[45.5608333, -94.1622222]",45.5608333,-94.1622222,59154.0,MN,12
95219,Troutdale,troutdale,us,"[45.5394444, -122.3861111]",45.5394444,-122.3861111,15205.0,OR,4
95235,Fairview,fairview,us,"[45.5386111, -122.4327778]",45.5386111,-122.4327778,9445.0,OR,2
95222,Cedar Mill,cedar mill,us,"[45.525, -122.8097222]",45.525,-122.8097222,13975.0,OR,3
95185,Portland,portland,us,"[45.5236111, -122.675]",45.5236111,-122.675,540513.0,OR,109
95190,Hillsboro,hillsboro,us,"[45.5230556, -122.9886111]",45.5230556,-122.9886111,82320.0,OR,17
95230,Cornelius,cornelius,us,"[45.52, -123.0586111]",45.52,-123.0586111,10589.0,OR,3
95211,Forest Grove,forest grove,us,"[45.52, -123.1094444]",45.52,-123.1094444,19427.0,OR,4
60791,North Branch,north branch,us,"[45.5113889, -92.98]",45.5113889,-92.98,10389.0,MN,3
95236,Cedar Hills,cedar hills,us,"[45.505, -122.7972222]",45.505,-122.7972222,8625.0,OR,2
95188,Gresham,gresham,us,"[45.4983333, -122.4302778]",45.4983333,-122.4302778,98851.0,OR,20
95196,Aloha,aloha,us,"[45.4944444, -122.8658333]",45.4944444,-122.8658333,44915.0,OR,9
