,zip_code,y-2016,lat,lon,major_city,radius_in_miles,state
209,1222,829,42.06,-73.32,Ashley Falls,2,MA
210,1223,2247,42.3,-73.1,Becket,8,MA
211,1224,176,42.516,-73.193,Berkshire,0.625,MA
212,1225,3192,42.56,-73.15,Cheshire,5,MA
213,1226,6885,42.48,-73.15,Dalton,6,MA
214,1229,102,42.3,-73.33,Glendale,4,MA
215,1230,8195,42.2,-73.3,Great Barrington,11,MA
216,1235,2666,42.4,-73.1,Hinsdale,8,MA
217,1236,1422,42.28,-73.37,Housatonic,5,MA
218,1237,2755,42.56,-73.23,Lanesboro,7,MA
219,1238,5950,42.3,-73.22,Lee,6,MA
220,1240,4592,42.37,-73.28,Lenox,4,MA
221,1242,429,42.37,-73.27,Lenox Dale,4,MA
222,1243,381,42.35,-73,Middlefield,4,MA
223,1244,82,42.2,-73.3,Mill River,11,MA
224,1245,870,42.19,-73.23,Monterey,4,MA
225,1247,15725,42.7,-73.1,North Adams,8,MA
226,1253,734,42.2,-73.1,Otis,5,MA
227,1254,985,42.38,-73.37,Richmond,3,MA
228,1255,869,42.11,-73.12,Sandisfield,7,MA
229,1256,764,42.6,-73.02,Savoy,5,MA
230,1257,2164,42.1,-73.37,Sheffield,5,MA
231,1258,359,42.1,-73.46,South Egremont,5,MA
232,1259,556,42.08,-73.24,Southfield,5,MA
233,1260,545,42.3,-73.2,South Lee,9,MA
234,1262,1196,42.29,-73.31,Stockbridge,3,MA
235,1264,161,42.23,-73.21,Tyringham,3,MA
236,1266,1380,42.29,-73.37,West Stockbridge,5,MA
237,1267,7846,42.6,-73.3,Williamstown,10,MA
238,1270,814,42.51,-73.05,Windsor,5,MA
239,1301,17730,42.63,-72.59,Greenfield,6,MA
240,1330,1468,42.53,-72.81,Ashfield,5,MA
241,1331,13205,42.6,-72.2,Athol,8,MA
242,1337,2598,42.69,-72.58,Bernardston,6,MA
243,1338,138,42.58,-72.8,Buckland,1,MA
244,1339,1461,42.6,-72.9,Charlemont,9,MA
245,1340,1689,42.7,-72.7,Colrain,7,MA
246,1341,1716,42.51,-72.7,Conway,6,MA
247,1342,1768,42.54,-72.62,Deerfield,4,MA
248,1343,46,42.67,-72.99,Drury,3,MA
249,1344,1582,42.61,-72.43,Erving,5,MA
250,1346,465,42.65,-72.83,Heath,2,MA
251,1347,133,42.57,-72.48,Lake Pleasant,3,MA
252,1349,1106,42.57,-72.49,Millers Falls,3,MA
253,1350,95,42.72,-72.95,Monroe Bridge,2,MA
254,1351,2312,42.55,-72.51,Montague,4,MA
255,1354,1656,42.64,-72.51,Gill,4,MA
256,1355,915,42.4,-72.3,New Salem,11,MA
257,1360,3006,42.67,-72.45,Northfield,6,MA
258,1364,7832,42.6,-72.3,Orange,7,MA
259,1366,1202,42.5,-72.2,Petersham,8,MA
260,1367,686,42.7,-72.92,Rowe,5,MA
261,1368,1363,42.67,-72.19,Royalston,7,MA
262,1370,3879,42.6,-72.8,Shelburne Falls,9,MA
263,1373,4184,42.47,-72.61,South Deerfield,5,MA
264,1375,3673,42.47,-72.55,Sunderland,4,MA
265,1376,5101,42.59,-72.54,Turners Falls,3,MA
266,1378,734,42.67,-72.34,Warwick,5,MA
267,1379,775,42.55,-72.41,Wendell,5,MA
268,1420,40441,42.59,-71.81,Fitchburg,4,MA
269,1430,6171,42.65,-71.92,Ashburnham,6,MA
270,1431,3196,42.67,-71.84,Ashby,4,MA
271,1432,7594,42.56,-71.57,Ayer,4,MA
272,1434,1716,42.54,-71.61,Devens,2,MA
273,1436,3823,42.6,-72.09,Baldwinville,4,MA
274,1438,635,42.54,-72.07,East Templeton,4,MA
275,1440,20334,42.59,-71.99,Gardner,5,MA
276,1450,11182,42.62,-71.58,Groton,6,MA
277,1451,4629,42.5,-71.58,Harvard,5,MA
278,1452,4537,42.48,-72.01,Hubbardston,6,MA
279,1453,41336,42.52,-71.77,Leominster,5,MA
280,1460,9538,42.54,-71.49,Littleton,4,MA
281,1462,11087,42.59,-71.72,Lunenburg,5,MA
282,1463,12031,42.67,-71.59,Pepperell,4,MA
283,1464,7433,42.58,-71.64,Shirley,5,MA
284,1467,560,42.4921,-71.6178,Still River,0.056818182,MA
285,1468,3704,42.54,-72.07,Templeton,4,MA
286,1469,7430,42.66,-71.7,Townsend,5,MA
287,1473,7480,42.56,-71.91,Westminster,7,MA
288,1474,1939,42.67,-71.75,West Townsend,3,MA
289,1475,10613,42.66,-72.05,Winchendon,5,MA
290,1501,16239,42.2,-71.85,Auburn,3,MA
291,1503,3061,42.38,-71.63,Berlin,3,MA
292,1504,9068,42.04,-71.53,Blackstone,2,MA
293,1505,4480,42.35,-71.72,Boylston,4,MA
294,1506,3386,42.2,-72.1,Brookfield,4,MA
295,1507,13292,42.13,-71.97,Charlton,6,MA
296,1510,13759,42.41,-71.69,Clinton,2,MA
297,1515,2259,42.21,-72.05,East Brookfield,4,MA
298,1516,8689,42.05,-71.75,Douglas,5,MA
299,1518,3009,42.11,-72.11,Fiskdale,5,MA
300,1519,6548,42.2,-71.68,Grafton,3,MA
301,1520,14880,42.34,-71.86,Holden,5,MA
302,1521,2374,42.06,-72.17,Holland,3,MA
303,1522,3380,42.39,-71.87,Jefferson,4,MA
304,1523,7811,42.47,-71.67,Lancaster,6,MA
305,1524,6649,42.24,-71.92,Leicester,4,MA
306,1525,128,42.12,-71.66,Linwood,3,MA
307,1527,13431,42.19,-71.78,Millbury,4,MA
308,1529,3218,42.04,-71.58,Millville,2,MA
309,1531,1106,42.32,-72.13,New Braintree,6,MA
310,1532,14846,42.32,-71.63,Northborough,4,MA
311,1534,6406,42.14,-71.64,Northbridge,4,MA
312,1535,4761,42.27,-72.08,North Brookfield,4,MA
313,1536,7557,42.23,-71.69,North Grafton,3,MA
314,1537,2671,42.17,-71.89,North Oxford,2,MA
315,1540,10921,42.12,-71.85,Oxford,5,MA
316,1541,3451,42.46,-71.89,Princeton,6,MA
317,1542,2366,42.2,-71.91,Rochdale,2,MA
318,1543,8402,42.38,-71.97,Rutland,6,MA
319,1545,36103,42.29,-71.71,Shrewsbury,4,MA
320,1550,16824,42.07,-72.04,Southbridge,4,MA
321,1560,4504,42.18,-71.68,South Grafton,3,MA
322,1561,249,42.443,-71.6868,South Lancaster,0.056818182,MA
323,1562,11801,42.25,-71.99,Spencer,6,MA
324,1564,7954,42.44,-71.78,Sterling,5,MA
