,Illnesses,PASSENGERS,population,perNoYrly,Ycity,Unnamed: 0,DENSITY,POP
160,86.0,0.0,78565.0,31.400000000000006,"Danbury, CT",1959.0,2019.912837,84730.0
441,354.0,0.0,61486.0,35.3,"Mission, TX",17263.0,2386.7971585,84827.0
235,1247.0,0.0,71253.0,35.099999999999994,"Bloomington, IN",4531.0,3654.8987255999996,84981.0
183,32.0,0.0,71666.0,26.400000000000006,"Largo, FL",2248.0,4622.0135461,84996.0
1,688.0,0.0,66752.0,27.299999999999997,"Hoover, AL",211.0,1778.448588,85108.0
326,0.0,0.0,80245.0,23.799999999999997,"Clifton, NJ",10955.0,7565.6002559,85273.0
63,0.0,0.0,69039.0,35.3,"Hemet, CA",1376.0,2913.7718265999997,85275.0
86,0.0,0.0,78702.0,33.3,"Newport Beach, CA",1488.0,3582.469982,85326.0
417,354.0,0.0,69621.0,29.700000000000003,"Bryan, TX",16689.0,1869.9566940000002,85445.0
297,203.0,0.0,81383.0,31.299999999999997,"Bloomington, MN",8193.0,2466.0100629999997,85578.0
69,0.0,0.0,76733.0,33.7,"Lake Forest, CA",1413.0,5147.9719118,85623.0
7,239.0,0.0,69679.0,33.8,"Avondale, AZ",611.0,1896.9466555999998,85835.0
299,203.0,4.0,84800.0,31.700000000000003,"Duluth, MN",8328.0,1198.6572611,85884.0
144,0.0,0.0,85778.0,34.099999999999994,"Whittier, CA",1668.0,5875.1300983,86064.0
102,0.0,0.0,71969.0,36.1,"Redwood City, CA",1544.0,4474.165403800001,86200.0
19,0.0,2.0,64864.0,31.599999999999994,"Fayetteville, AR",854.0,1605.7251244000001,86751.0
234,3191.0,6.0,92695.0,32.0,"Waukegan, IL",4427.0,3578.106989,86792.0
61,0.0,0.0,87083.0,31.799999999999997,"Hawthorne, CA",1373.0,14296.8009,86965.0
460,8.0,0.0,0.0,39.8,"St. George, UT",17958.0,1134.168291,87178.0
457,8.0,0.0,78324.0,37.1,"Ogden, UT",17927.0,3204.5060639000003,87325.0
192,32.0,0.0,41483.0,23.299999999999997,"Palm Coast, FL",2339.0,921.38765501,87607.0
20,0.0,0.0,81985.0,29.900000000000006,"Fort Smith, AR",862.0,1387.9966402,87845.0
41,0.0,0.0,89430.0,36.1,"Citrus Heights, CA",1277.0,6178.3159561,87910.0
221,3191.0,0.0,75670.0,32.900000000000006,"Champaign, IL",3401.0,3855.7346958999997,88029.0
310,720.0,0.0,0.0,29.200000000000003,"O'Fallon, MO",9909.0,2978.5812855,88472.0
390,1618.0,0.0,79799.0,31.799999999999997,"Reading, PA",15332.0,9009.781272799999,88495.0
276,174.0,0.0,84851.0,24.599999999999994,"Newton, MA",7563.0,4986.8400554,88904.0
164,86.0,0.0,84530.0,30.200000000000003,"Norwalk, CT",1976.0,3890.8434111999995,89047.0
324,634.0,0.0,87039.0,27.799999999999997,"Nashua, NH",10896.0,2894.4652755999996,89246.0
398,571.0,0.0,59105.0,36.7,"Mount Pleasant, SC",15772.0,1978.8123274999998,89338.0
271,174.0,0.0,93000.0,22.700000000000003,"Fall River, MA",7543.0,2707.6365774,89661.0
114,0.0,0.0,79904.0,33.599999999999994,"San Leandro, CA",1582.0,6723.7569915,89703.0
72,0.0,0.0,80347.0,34.7,"Livermore, CA",1431.0,3340.4038934,90269.0
479,34.0,10.0,73469.0,42.5,"Bellingham, WA",18295.0,3273.5033301999997,90665.0
143,0.0,0.0,89868.0,34.5,"Westminster, CA",1664.0,9056.238465,90938.0
475,882.0,0.0,80690.0,22.900000000000006,"Suffolk, VA",18250.0,228.44596446,91185.0
66,0.0,0.0,65955.0,35.7,"Indio, CA",1392.0,2745.975319,91240.0
119,0.0,4.0,86681.0,35.400000000000006,"Santa Barbara, CA",1591.0,4684.1041698,91350.0
123,0.0,0.0,88338.0,32.8,"Santa Monica, CA",1597.0,10862.858461,91411.0
38,0.0,0.0,75494.0,34.400000000000006,"Chino, CA",1273.0,3089.6636647,91583.0
187,32.0,0.0,89326.0,25.5,"Miami Beach, FL",2287.0,11923.594723999999,91718.0
99,0.0,0.0,91685.0,36.8,"Redding, CA",1541.0,1538.5852366,91772.0
132,0.0,0.0,83216.0,36.3,"Tracy, CA",1637.0,4146.4154303000005,91812.0
36,0.0,0.0,95767.0,31.400000000000006,"Carson, CA",1268.0,4908.5512577,91909.0
176,32.0,0.0,82008.0,26.400000000000006,"Deltona, FL",2133.0,2466.8993,91951.0
347,447.0,1.0,68795.0,26.900000000000006,"Asheville, NC",11941.0,2028.6926412999999,92452.0
77,0.0,0.0,0.0,34.5,"Menifee, CA",1459.0,1992.4746787999998,92595.0
373,0.0,0.0,91752.0,30.099999999999994,"Lawton, OK",14074.0,1140.8977794000002,92859.0
372,0.0,0.0,73915.0,31.900000000000006,"Edmond, OK",13932.0,1099.5538396,93127.0
355,447.0,0.0,70757.0,24.799999999999997,"Greenville, NC",12125.0,2614.2333109,93137.0
238,1247.0,0.0,54829.0,31.700000000000003,"Fishers, IN",4655.0,2647.0698344,93362.0
236,1247.0,0.0,47219.0,31.799999999999997,"Carmel, IN",4565.0,1970.2149969,93510.0
490,34.0,0.0,88405.0,41.8,"Yakima, WA",18559.0,3382.0204065,93884.0
289,516.0,0.0,98218.0,29.900000000000006,"Livonia, MI",7869.0,2632.6142127,93971.0
350,447.0,0.0,60592.0,25.799999999999997,"Concord, NC",12034.0,1493.0330946,94130.0
194,32.0,0.0,85739.0,23.799999999999997,"Plantation, FL",2357.0,4352.3137939,94288.0
282,516.0,0.0,95170.0,31.299999999999997,"Dearborn, MI",7704.0,3892.5632614,94333.0
126,0.0,0.0,99922.0,36.1,"South Gate, CA",1619.0,13051.453145,94443.0
277,174.0,0.0,89168.0,23.099999999999994,"Quincy, MA",7569.0,5707.9255594999995,94580.0
472,882.0,0.0,99049.0,22.799999999999997,"Portsmouth, VA",18217.0,2841.7488658,94632.0
209,25.0,0.0,77218.0,26.799999999999997,"Roswell, GA",2873.0,2324.5678815,94650.0
274,174.0,0.0,89691.0,23.200000000000003,"Lynn, MA",7555.0,8810.3112074,94654.0
37,0.0,0.0,70565.0,35.3,"Chico, CA",1272.0,2832.4476202,94776.0
80,0.0,0.0,96287.0,33.599999999999994,"Mission Viejo, CA",1465.0,5378.3245556,95202.0
64,0.0,0.0,73640.0,35.599999999999994,"Hesperia, CA",1379.0,1310.447199,95274.0
275,174.0,0.0,94083.0,22.5,"New Bedford, MA",7561.0,4766.437456000001,95315.0
198,32.0,0.0,90993.0,23.200000000000003,"Sunrise, FL",2409.0,5898.5156555,95458.0
269,174.0,0.0,94881.0,22.400000000000006,"Brockton, MA",7537.0,4489.6969837,95777.0
285,516.0,0.0,117258.0,24.799999999999997,"Flint, MI",7752.0,2869.2662046,95943.0
216,0.0,0.0,73064.0,42.4,"Nampa, ID",3121.0,2990.7374321999996,96252.0
387,1618.0,4.0,99801.0,29.900000000000006,"Erie, PA",14888.0,5040.7630321999995,96471.0
154,54.0,0.0,83291.0,42.8,"Longmont, CO",1839.0,3505.0582651999994,96577.0
43,0.0,0.0,96749.0,31.900000000000006,"Compton, CA",1290.0,9634.2615703,96617.0
115,0.0,0.0,69697.0,35.400000000000006,"San Marcos, CA",1584.0,3976.3559264,96847.0
462,8.0,0.0,0.0,36.1,"Sandy, UT",17962.0,4072.817501,96901.0
481,34.0,0.0,80815.0,38.5,"Federal Way, WA",18361.0,4367.0167151,97044.0
338,132.0,342.0,93794.0,24.099999999999994,"Albany, NY",11334.0,4545.1407673,97279.0
253,220.0,0.0,83314.0,34.5,"Lawrence, KS",6315.0,2849.9478218000004,97286.0
458,8.0,0.0,93060.0,42.0,"Orem, UT",17930.0,5278.062415199999,97521.0
378,590.0,0.0,65756.0,39.6,"Bend, OR",14374.0,2949.8060285,97590.0
18,239.0,0.0,84316.0,35.099999999999994,"Yuma, AZ",700.0,808.9589078,97908.0
336,220.0,0.0,64090.0,43.0,"Rio Rancho, NM",11302.0,947.80592506,98023.0
309,720.0,0.0,0.0,29.200000000000003,"Lee's Summit, MO",9764.0,1542.8231714,98461.0
423,354.0,0.0,60509.0,35.099999999999994,"Edinburg, TX",16870.0,2205.5050811,98665.0
377,590.0,0.0,82648.0,36.6,"Beaverton, OR",14373.0,5053.447902,98962.0
169,32.0,13.0,80689.0,23.799999999999997,"Boca Raton, FL",2075.0,3428.6530314999995,99244.0
487,34.0,0.0,0.0,37.5,"Spokane Valley, WA",18512.0,2642.8763283000003,99703.0
474,882.0,0.0,91168.0,25.5,"Roanoke, VA",18228.0,2350.0608303000004,99920.0
137,0.0,0.0,96469.0,36.5,"Vacaville, CA",1648.0,3427.4788368,100154.0
494,2626.0,0.0,93982.0,29.900000000000006,"Kenosha, WI",19061.0,3589.0282555,100164.0
450,354.0,0.0,88256.0,33.2,"San Angelo, TX",17514.0,1671.4940103,100215.0
5,688.0,0.0,79816.0,25.299999999999997,"Tuscaloosa, AL",421.0,1638.5514744999998,101113.0
141,0.0,0.0,92707.0,36.0,"Vista, CA",1654.0,5403.5511867,101224.0
245,1247.0,44.0,103760.0,32.400000000000006,"South Bend, IN",4964.0,2452.4344523,101860.0
247,453.0,0.0,96930.0,29.5,"Davenport, IA",5265.0,1606.6501793,102085.0
484,34.0,0.0,56141.0,37.9,"Renton, WA",18481.0,4356.9761243,102153.0
335,220.0,0.0,80184.0,38.9,"Las Cruces, NM",11278.0,1337.8559738,102926.0
49,0.0,0.0,94807.0,35.900000000000006,"El Cajon, CA",1324.0,7127.473373299999,103241.0
410,354.0,0.0,75868.0,29.0,"Allen, TX",16558.0,3917.7061753,103383.0
103,0.0,0.0,101523.0,34.2,"Rialto, CA",1546.0,4322.2251534,103440.0
34,0.0,6.0,104690.0,33.7,"Burbank, CA",1253.0,5988.7099407,103695.0
322,564.0,0.0,84662.0,36.2,"Sparks, NV",10882.0,2909.9094698000004,104246.0
455,354.0,0.0,101212.0,29.299999999999997,"Wichita Falls, TX",17733.0,1453.0283310999998,104576.0
493,2626.0,87.0,101012.0,30.299999999999997,"Green Bay, WI",19012.0,2305.9388709000004,104879.0
116,0.0,0.0,89982.0,35.7,"San Mateo, CA",1586.0,8627.750706899998,105025.0
87,0.0,0.0,109111.0,34.400000000000006,"Norwalk, CA",1490.0,10827.570804,105120.0
453,354.0,0.0,90878.0,31.200000000000003,"Tyler, TX",17669.0,1867.0472561000001,105729.0
433,354.0,0.0,61894.0,30.5,"League City, TX",17156.0,2072.6147049,106244.0
142,0.0,0.0,109756.0,33.3,"West Covina, CA",1661.0,6627.3527962,106311.0
174,32.0,0.0,82605.0,25.299999999999997,"Davie, FL",2125.0,3045.130873,106558.0
434,354.0,0.0,93907.0,30.700000000000003,"Lewisville, TX",17166.0,2902.7133258999997,106586.0
215,0.0,0.0,45803.0,41.2,"Meridian, ID",3109.0,3179.9262478,106804.0
47,0.0,0.0,98959.0,35.099999999999994,"Daly City, CA",1305.0,14004.707486000001,107008.0
152,54.0,0.0,86875.0,42.2,"Greeley, CO",1792.0,2198.3074373000004,107348.0
147,54.0,0.0,91521.0,42.2,"Boulder, CO",1705.0,4083.5372818000005,107353.0
122,0.0,2.0,85480.0,37.4,"Santa Maria, CA",1596.0,4714.2292193,107408.0
166,86.0,0.0,108507.0,28.099999999999994,"Waterbury, CT",1982.0,3789.8088975999995,108093.0
381,590.0,6.0,82320.0,37.0,"Hillsboro, OR",14446.0,4219.8206981,108389.0
210,25.0,0.0,94717.0,25.599999999999994,"Sandy Springs, GA",2879.0,2889.2064542,108797.0
371,0.0,0.0,85535.0,30.599999999999994,"Broken Arrow, OK",13831.0,1766.8718617,109171.0
67,0.0,0.0,116158.0,30.0,"Inglewood, CA",1394.0,12066.532091,109419.0
